Urdu,Roman
ميشارراف,musharraf
سکھ,sekh
دید,deed
ھوٹ,hot
زیب,zaib143
پیاروں,pyaron
مکھن,makhn
حنا,hina
ریلی,rely
نکلی,nikli
صورت,surat
پاکستان,pakistan
لیجا,leja
انقلاب,inqalaab
ينڈ,end
چور,choor
انمول,anmol
حضور,hazoor
ڈھال,dhal
بہترین,behtaren
بکھرنے,bikhrne
تنولی,tanoli
سمجھا,samjha
پانا,pana
بہو,baho
فوزیہ,fozia
غلطی,galti
جدوں,jadon
زیدی,zaidi
کتاب,kitab
سمیرا,sumaira
تعداد,tadad
پاسا,pasa
بلانک,blank
فاکي,fake
زندگی,zindagi
سينا,seena
انت,ent
روکے,roky
برا,bura
جاگے,jagaey
فتوحات,fatohat
رپلی,reply
کاری,karti
ہار,har
ها,ha
ہستی,hasti
فیصلے,fesle
شکایت,shikayat
باپ,baap
فرانک,frank
بدلا,badla
طوطی,toti
گنا,guna
جروا,jurwa
مانگتے,mangtay
بکی,bki
شعیب,shoaib
آوے,away
دھل,dhal
آگ,aag
خلق,khulq
رقیب,raqeeb
مونگ,mong
١٧٠٠,1700
لعنتی,lanti
کفر,kufr
فراز,faraz
ناخن,nakhun
پرندوں,parindon
تنو,teno
جنگل,jungle
پنو,pnuawan2310
چکر,chakr
مرغی,murghi
چیتا,cheeta
پیرو,piaro
اپریل,april
مجاہد,mujahid
دیجیئے,dijia
فيبرياري,february
ليس,less
چيز,chez
گولڈن,goldn
جیس,jese
ابرار,ibrar
نخرے,nakhre
مرے,mre
بھیجیں,bhaijan
دلال,dalal
وارث,waris
ملنے,milne
پیارے,pyare
بلوڈ,blood
بالڈ,bald
چورنگی,chorangi
ينيمي,enemy
باتیں,baten
جھیل,jheel
فوت,footpath
کوڑے,korray
ک,k
مسافت,musafat
پیچے,pechy
سلينس,silence
ثواب,swab
بھلایا,bhulaya
چیر,cheer
ڈریم,dream
ارٹ,art
مواقع,mawaqay
نمب,numb
حاررس,harris
احتجاج,ehtjaj
نہا,naha
لاش,lash
حوکيي,hockey
لابی,labi
فرما,farma
فری,free
گدھا,gadha
اک,ik
بيٹھ,baith
آتی,ati
پڑھتی,parhti
ساتھی,sathi
سلگتے,sulagte
جنہوں,jinho
بھیجتی,bheje
کیسے,kese
سونی,soni
ظرور,zaror
تربیت,trbiat
فوٹ,foot
فنک,funkar
کرتے,karte
سجدوں,sajdon
لگا,laga
کوا,kawa
آزمانے,aazmane
ہوٹل,hotel
ہیرے,heere
مایا,maya
بیوی,biwi
سوک,sok
قاسی,qasi
خیریت,kheriyat
بڑوں,baron
پاکی,paki
انکی,unki
گپتا,gupta
ہوگیا,hogya
وام,wam
پیروں,pairon
والی,wali
ساقی,saqi
مرتا,marte
فانی,fani
کرک,circket
زمانے,zamane
پھرتے,phirtay
آباؤ,abao
پینے,peeney
ثابت,sabit
سعودی,saudi
اسکی,uski
تاکے,take
زما,zama
پتا,pata
لات,lath
درس,darse
دیوار,diwar
مسکین,maskean
رہتی,rehti
طریقوں,tariko
حوصلوں,hosloon
بھا,bha
زبیدہ,zubaida
شرت,shart
سفیان,sufyan
نور,noor
اپیل,appiel
سٹی,city
بجھی,bujhi
یادِ,yaad
بیل,bell
حبس,habs
لامب,lamb
کونسا,konsa
گیسٹ,guest
موبایل,mobile
آن,on
ففٹي,fifty
سيپٹيمبير,september
شیا,shea
علینہ,alina
ڈیڈی,dydy
کوفی,cofi
پھر,phir
پرانی,purani
منڈا,mundaø
ڈنگر,dngr
ٹھکانہ,thikana
احتساب,ahtisab
لڑے,laray
بہ,b
پیچھا,peecha
خالد,khalid
ليرن,learn
ڈوڈ,dod
رکھتے,rakhtay
جاگو,jagoo
مصروفیت,masroofiyat
صبا,saba
لگایا,lagaya
لفٹ,lift
بچ,bach
بييٹفيل,beautiful
پکڑو,pakro
ديتا,deta
کرنير,corner
پاکستانیوں,pakistanio
منا,mana
پلاسٹک,plastic
پروں,paron
خود,khud
پوچھو,pocho
لوٹا,lauta
ٹوٹکا,totka
سنده,sindh
زیادہ,ziada
امامت,imamat
صدا,sada
کیوں,q
مین,main
کونٹینو,continue
پتھروں,pathron
کرونگا,karo
ہول,whole
سمجھے,smjhe
پرنسس,princes
لڑنا,lrna
زونگ,zong
عین,ain
رہوگے,rhoge
بھلا,bhula
ملاتا,milata
توڑ,tor
چوم,choom
آزماتے,aazmaty
وربٹ,orbit
چابی,chbi
بابي,baby
گی,gi
الون,alone
جانو,jano
اڈمرل,admiral
بارشوں,barishon
آءے,aye
آغوش,aghosh
گزارا,guzara
لفی,life
لگتا,lagta
ریپلائ,reply
جواب,jawab
مہنگا,mehnga
ھوتے,hote
بھیج,bhej
گزارنا,guzaarna
جگانے,jaganay
دراصل,darasal
تها,tha
لوٹس,lots
ماسی,masi
ملتا,milta
احميڈ,ahmed
گلے,galay
دونے,donay
معذرت,mazrat
بہروں,behron
بیٹھا,betha
سمجھی,smjhi
ہٹنے,hatne
بالٹی,balti
مسکرانے,muskrany
ہ,ha
بغیر,bagair
مارٹ,smartpoetry
پیدا,peda
هوٹ,hot
روک,rok
شرکت,sharkit
کھینچی,khainchta
مقصود,maqsood
ناسمجھ,na
رخ,rukh
تاج,taaj
خیرات,khaerat
ما,ma
ينٹر,enter
خوش,khush
مجھے,mujhe
نبھانے,nibhane
گزری,guzrifaraz
امیدیں,umeedein
یادوں,yadon
کرنے,krne
رکے,rukay
بچنا,bachna
بھیگی,bheegi
سرے,sare
بچیاں,bachiyan
ارٹفکال,artificial
کھانے,khane
کھلونے,khilonay
افسردہ,afsorda
مار,mar
باتوں,baton
انگریز,engrz
پڑھا,parha
آلو,aaloo
ببلو,babloo
نہایت,nehayet
فاحاڈ,fahad
خر,khr
کافی,kafi
گرا,gira
ہاللو,hello
درود,darood
ناسور,nasoorjazb
افسوس,afsos
ور,or
کھيل,khel
دی,di
رور,ror
کامران,kamran
ہیر,here
جسے,jisay
آغا,agha
لاج,laj
سوری,sory
گرنے,girne
شہزادہ,shahzada
جھوم,jhom
ذونگ,zong
جذباتی,jazbati
لکھ,likh
حے,hai
پويم,poem
اونی,aouni
دھیرے,dheere
غریبوں,gharibon
قیام,kiam
آریان,areyan
جاے,jaye
تھی,thi
گهڑ,ghar
بريڈ,bread
شٹ,shut
عرض,arz
اندھر,andr
کشتی,kashti
زہرا,zahra
تمہیں,tumhe
ایسے,aisay
جوک,joke
تھوڑ,thori
سٹرونگ,strong
شاہی,shahi
ویلکیم,welcome
حالت,halat
سوچنے,sochne
اسسينسون,ascension
آزما,aazma
حکومت,hkomt
سوچتی,sochti
ویٹ,wait
تھنکس,thanks
شرک,shrk
وں,un
شک,shak
سٹي,city
ٹو,to
ہونٹ,hont
گرد,grd
ٹپس,tips
کلمات,kalmat
کیں,q
رونا,rona
فلمیں,flmn
جوس,juice
تکلیف,takleef
ليں,lain
بولنا,bolna
بکنے,biknay
نکوٹین,nicotinesms
پہلی,pehli
والد,walid
خبروں,khabron
رنگ,rang
ومار,omar
فريڈوم,freedom
اجنبی,ajnabi
کرواتا,karwata
سیریس,seri0us
تبدیلیاں,tabdeeliyan
عزت,izat
حوا,hawa
رکھا,rakha
مستونگ,mastung
گنورانٹ,ignorant
کلاس,clas
پروپيرٹي,property
دبی,dubai
آنٹ,aunt
باسي,base
هی,hi
سیرت,seerat
ادو,idot
ہوتے,hote
کباب,kabab's
گرفتار,griftar
دانس,dance
چلاؤں,chlaon
دستور,dstoor
مینا,mena£=siom£
دیش,desh
فورڈ,frwrd
راچ,rich
بٹھاو,bithao
یومی,yummi
بریکر,breaker
شوي,shoe
پھٹ,phat
قاد,qadir
افتخار,iftakhar
جنناح,jinnah
جما,jama
محال,mohal
سليپ,sleep
بنگو,bingoo
ٹورنامنٹ,tournament
مانو,mano
رنگین,rngin
بنگالی,bangali
روپے,rupy
راستہ,rasta
هوں,hun
دوستی,dosti
ہیلو,hello
مہا,maha
مجبورا,majburam
انڈير,under
ساته,sath
ریپلائی,reply
کہنا,kehna
آسمانی,aasmani
پناہ,panah
ہنسنا,hansna
خط,khat
تيز,tez
فات,fat
روہی,rohi
بوریت,boryat
ندا,nida
سوچنا,sochna
مکھی,makhi
کاظمی,kazmi
مزا,maza
احساسات,ihsasat
وٹس,wts
بڑھ,barh
حاجی,haji
موٹو,motu
اککور,acquire
حيڈ,head
پيريلي,purely
ریڈ,reed
جانور,janwar
وارسا,warsa
تھے,thay
ہیڈ,head
ہونٹوں,honton
چکے,chuke
سگے,sege
اسدولاه,asadullah
کربلا,karbala
شفقت,shafqat
آل,all
ہوجاتا,hojata
اداسی,udasi
جام,jaam
فیضان,faizan
11,11
انصاری,ansariboys
انجو,anjo
لونگا,lungagirl
دربان,darbanaisey
بانو,baano
واہ,wah
مغفرت,maghfrat
اپنانے,apnanay
چرچا,charcha
احساس,ehsas
افغان,afghan
ناپ,nap
بھأي,bhai
انک,ink
محرومی,mehroomi
تھوڑے,thore
وسیم,wasim
لفظ,lafz
جلانے,jalanay
عراقی,iraaqi
مشکل,mushkil
سام,sam
دیکها,deka
کاشان,okkashan
صارف,user
بلکه,blky
ترازو,tarazo
بکھرے,bikhre
کسا,coca
کاہے,kahey
وچ,kuch
ہاۓ,hi
سجا,saja
افضل,afzal
انڈيرنيتھ,underneath
رابطہ,rabta
دکھ,dukh
موحامماڈ,mohammad
قریشی,qureshi
اسکول,iskool
موڈ,mood
ميری,meri
زبان,zuban
ذلیل,zaleel
ھنی,honey
بند,band
رازی,razi4u
نایس,nice
فلم,film
ماری,marikese
کوڈ,code
سختی,sakhti
نال,nal
بھائی,bhai
تکتے,tktey
ریپلاۓ,reply
جیسے,jese
بای,bi
سچا,sacha
کانچ,kaanch
۵,5
قاتل,qatil
زوق,zowq
سنگا,snga
اسلام,assalam
سما,samaa
آنگن,angan
فضیل,fuzail
آمر,aamir
ریل,real
کول,cool
سٹوري,story
روٹی,roti
ليتے,laitay
گفٹ,gift
کی,ki
روز,roz
تؤ,to
چاہا,chaha
دوسری,dosri
رہا,raha
ذرا,zra
لانا,lana
کیتا,keeta
راستے,rastay
گجرانوالہ,gujranwala
2,2
فريش,fresh
گھنٹے,ghante
جانتی,janti
رومان,romaan
ستارے,sitare
شہزاد,shahzad
بنای,bnai
پیروی,pairwi
سجایا,sajaya
پروگرامر,programmer
چیزیں,cheezen
موحامميڈ,mohammed
ٹاگ,tag
پیسے,paise
آوازیں,awazen
پاک,pak
آفر,ofer
چڑھاؤ,charhao
آرمی,army
اپپيل,appeal
کرواؤں,krwao
چاۓ,chay
معصومیت,masoomiyat
بڑھا,barha
لے,le
ہمیش,hamesha
دوری,doori
دشمن,dushman
چین,chain
ابتو,ab
ھو,ho
تعرف,taraf
ای,i
چاہی,chahye
سمجھدار,smjhdar
پيرسون,person
عقل,aqal
بتاؤ,btao
ہوجا,hoja
اسس,is
مغرب,mghrb
٢٠٠,200
زیر,zer
خوب,khoob
ہمارے,hamare
واٹس,whats
ہوشی,khoshi
سرمایا,sarmaya'e
اچھی,achi
شيٹ,shet
چاٹ,chat
امید,umeed
لوند,londy
جنوں,junoon
برستی,barasti
افراد,afrad
رخی,rukhi
منی,mani
الگ,alag
فضیلت,fazeelat
اکڑ,iccr
پلانيٹ,planet
تھا,tha
روکیں,rokyn
خودکشی,khudkushi
پلايير,player
فش,fish
بستا,basta
یعنی,yani
بھوک,bhok
عراق,iraq
رفتار,raftaar
اندھیروں,andheron
پڑو,prho
پورے,pore
ٹرسٹ,trust
حقیر,haqeer
تارا,taraadub
ہمیں,humain
سراج,siraj
شیرو,sherwani
آرہا,araha
چکی,chuki
سینٹینس,sentence
سنگھ,singh
دہاڑے,dihaaray
جرا,jera
لٹا,lutai
اداکار,adakaar
پینٹ,paint
طبیعت,tabiyat
تیری,teri
سجدے,sajday
سیٹ,set
اپس,apas
اشاره,ishaara
مری,meri
نیے,naye
باس,bas
آنسر,ans
ارسلان,arsalan
شرافت,shrafat
بنتی,banti
بھرتا,bharta
الکوحلٹارزن,alcohol
ميں,main
لینے,lene
ماڈ,mad
جمعہ,juma
آداب,aadaab
افٹر,after
کویل,koyal
خاندان,khandan
جوڑ,jork
پنجرے,pinjray
بٹھانا,bithana3
شہادت,shahadat
شکور,shakoor
رسمی,rasmi
کين,keen
تیرے,tere
رحمان,rehman
ہوتا,hota
زینب,zainab
ارباز,arbaz20
پیتا,kpeeta
تجھے,tujhe
حاضر,hazir
حیدر,hydrabad
قندیل,qandeel
الحمد,alhamdolillah
منانے,manane
انگلیوں,ungliyon
اکر,iccr
٢٠,20
رہنا,rehna
بادام,badaam
گلیاں,galia
پروگراممير,programmer
وانٹ,want
هاف,half
تھیں,thin
بيرن,burn
اقبال,iqbal
ڈور,door
باته,bathroom
بروڈر,bro
لڑکیوں,lrkion
بخیر,bakhair
سرداروں,sardaron
گيل,gul
لوگوں,logon
لکي,like
بناؤ,bnao
گوٹ,got
سوں,sona
عذاب,azab
ارشد,arshad
مي,my
دین,deen
مزار,mazar
پھاڑ,phar
چاہنے,chahne
ٹوو,two
٢,2
حور,hoor
غریب,ghareeb
بدلے,badlay
عوام,awam
رحمانہ,rehmana
ابو,abu
تنوع,tenu
آسی,aasi
قبریں,qbren
سمت,simt
بولو,bolo
سٹڈی,stdy
لکھنا,likhna
بدلتی,badalti
پڑھنا,parhna
ڈوب,doob
خطرناک,khatarnak
گريٹ,great
سمجھ,smj
توہین,toheen
٣,3
طالبعلم,talabilm
شق,shuk
۱۱,11pmparya
دبا,dba
ہوں,hun
آفریدی,afridi
بسیں,basen
کارڈ,card
علینا,alina
سچی,sachi
جیسی,jesi
امریکہ,america
نیلی,neeli302
نواب,nawab
چپ,chup
هیلپ,help
دشت,dasht
کیونکہ,q
گردی,gardi
سدا,sada
دفا,dafa
گلو,glow
آؤں,aao
کردی,krdi
لڑکیاں,larkian
دشمنی,dushmane
ولڈ,old
جوب,job
سینڈ,send
فلاگ,flag
٢٥٠,250
چوٹ,chot
ناصر,nasir
پریت,preet
دھوکا,dhoka
تول,tol
ميز,maiz
ھوتا,hota
پحلوسوپحير,philosopher
شیاء,shia
نڈھال,nidhal
ييي,eye
گووڈ,good
جونی,jouni
زرداری,zardari
کشمکش,kashmakash
الکوہو,alcohol
ہیں,hain
جسٹ,just
لادن,laden
مخاطب,mukhatib
کرکے,karke
روڈ,road
خلا,khula
علاوہ,ilawa
لوگ,log
خوف,khof
جگایا,jagaya
بار,bar
مانی,mani
درجے,darje
کامياب,kamyaab
جلیل,jalil10
اجالے,ujaly
کھانسی,khaansi
گھر,ghar
لڑی,lari
میمبر,membr
کہتے,kehte
مٹتے,mittay
پڑتا,parta
سنان,sunan
امیدوں,umeedon
سوا,siwa
چیتے,cheetiye
سپرد,spurd
دوست,dost
ہاہاہا,hahaha
کیسی,kesi
مہاجر,mahajir
قیمت,kimat
تیسری,kotesri
ماجد,majid
فوللو,follow
کمان,kaman
منسوب,mansoobtum
جانِ,jan
حسیب,haseeb
مٹھاس,mithasjab
سیلاب,selab
کھیلتا,kheilta
واسطہ,wasta
بلوچی,balochi
عجب,ajab
چلی,chali
ہلچل,halchal
١٥,15
جیتا,jeeta
پختو,pukhto
ادھورا,adhoraø¤!œ£ent
ڈیلی,daily
خواہش,khwahish
دادا,dada
کون,kon
نمی,nami
ڈوینگ,doing
ماہیا,mahiyarab
ثنا,sana
موج,moj
بنایا,bnaya
حیات,hyat
تجھ,tujh
لیموں,limu
اسلامیک,islamic
ٹرپ,trip
خاموشی,khamoshi
دہی,dehe
موبلے,mobile
تروته,truth
ملاقات,mulaqat
وفات,wafat
پھیلاتا,phelata
تہ,tha
اجمل,ajmalmmdaslam
بھائ,bhai
سویرا,sawera
سلاپ,slap
8,8
کٹوبير,october
مٹانا,mitana
گوڈ,god
ابھرنے,ubharnay
یوٹ,your
پرنس,prince
رے,re
ملٹی,multitecsawariya
سونو,sonu
جاز,jazzy
بها,baha
ملاوٹ,milawt
تنگ,tang
خوشیوں,khushiyon
ڈے,de
خطرے,khatre
جلنے,jlne
بٹے,btain
لو,lo
گیں,gain
کال,kal
ملی,mili
زنا,zana
ٹالک,talkshalk
آپکو,apko
جوکس,jokes
تخت,takht
سکرین,scren
٥٠٠,500
نيٹ,net
نیازی,niazi011
جانی,jani
اسيمبلي,assembly
بیٹھی,bethy
چی,che
پوچھا,pocha
اپ,ap
روشن,roshan
برين,brain
سکپ,skip
جینا,jeena
جلدی,jaldi
کھیل,khel
آلسو,also
حونور,honor
وحشت,wehshat
دوسروں,dosaro
راو,raw
ظالم,zalim
جيني,june
صابر,sabr
اقرا,iqra
سٹرنگز,stringzoye
صدقے,sadqay
رسیلی,raseli
مانا,mana
پرانے,puranay
کیمسٹری,chemistryblogsadaf
پیش,paish
بلڈنگ,bulding
پﻻسٹک,plastic
مومنین,momineen
رينٹ,rent
دوستوں,dosto
پڑھتا,parhta
سامی,sami
فیصلہ,faisla
مانتے,mante
کردگی,krdgi
ہونگے,honge
بہتا,behta
طوطا,tota
بھیا,bhayia
ادھوری,adhoori
لرزتے,larazte
بادل,badal
خراب,kharab
یونس,younis
بهائی,bhai
گو,go
راہ,raah
میشا,mishaaao
بہانے,bahane
اگنی,agni
رهے,rahe
شرمایا,sharmaya
ذہین,zahen
ييس,yes
اجیرن,ajheeran
کالو,kalo
پیٹی,piti
کیوںکہ,kiun
لگاتار,lagatar
نون,non
سوم,swim
مناہل,mnahil
جوگی,jaogi
حلیم,haleem
مضبوط,mazboot
بندا,banda
فاسٹ,fast
سلک,silk
سامنے,samne
سرور,suroor
ريببش,rubbish
الله,allah
تالو,taulo
مثلا,masla
پریتی,prety
پانڈا,panda
پتلون,patloon
فصل,faslegul
ڈوبنے,doobnay
سٹال,stall
کپي,copy
بہاو,bahao
تھامے,thamay
پٹي,pity
کونسے,konse
لکھنے,likhne
ورق,warq
جین,jain
چارسو,charsiokoi
راشد,rashiid
ریپ,rep
سٹوپ,stop
لکھتی,likhti
رابعہ,rabia
دریاؤں,daryauon
سزا,saza
عزیز,aziz
جاسم,jasmin
هاں,han
کرنی,krni
١٧,17
سٹارٹ,start
سٹوپڈ,stupid
لنچ,lunch
وہاب,wahab
حفیظ,hafeez
اسا,isa
بھوکا,kabhokatha
ٹير,tyre
چکنی,chiknikuriraja
زندگانی,zindagane
پورا,pora
ٹرينک,trunk
سنک,snkk
ادیا,idea
نازش,nazish
راجپوت,rajput
ھا,hahaha
ي,ye
منہاس,minhas
پریس,prince
مپرسونمنٹ,imprisonment
انٹروڈکشن,intro
کاٹ,kaat
مسیحا,maseeha
جاپان,japan
مرد,mard
سبا,saba
انشا,insha
وارن,warn
رہتے,rehte
نبھایا,nibhaya
گرل,girl
بروے,brwe
غلطیوں,galtiob
الکوحل,alcoholnahi
دير,dair
شریعت,shariyat
اخوند,akhund
بیماری,bimaari
آنکھوں,ankhon
محشر,mehshar
پرواہ,parwah
اتوار,itwaar
چاہوں,chahon
اسرار,israr
پیڈ,pidda
منميم,minimum
پوچھ,poch
اڑا,ura
کود,code
کروا,krwa
آجا,aja
اپنے,apne
ڈوبا,dooba
لگانا,lagana
ماند,maand
سینڈنگ,sending
ماہ,mah
کریگا,karega
پاتے,paate
چالاک,chalak
ملال,malal
دیر,dear
دیواروں,deewaaron
مسلمانو,muslmanu
انا,anaa
فيٹير,future
سیکھا,seekha
لوگو,logo
اای,i
رام,ramgar
تڑپتا,tarapta
آجکل,ajkal
کرانا,krana
انوشے,anoushey
سندر,sundr
نازک,nazuk
آنٹی,aunti
کرتا,karta
کیچڑ,keechar
کچرا,kachra
خدایا,khudaya
اجداد,ajdaad
ب,b
شامی,shami
بیہوش,behosh
سادہ,sada
بولی,boli
چڑھا,charha
چاہیں,chachey
سکیں,sken
گا,ga
فرش,farsh
د,da
کنوٹ,knot
ایسا,aisa
ناین,nine
نکلا,nikla
انٹرنیٹ,internet
لوںگا,lo
پللو,pillow
ظہیر,zaheer
طوطوں,toton
یادیں,yaaden
هنس,hans
سٹيپ,step
والوں,walon
لاشیں,lashen
اپنی,apni
والے,wale
سچ,sach
ترین,tareen
بچی,bachi
اوس,aus
مشہور,mushhoor
اننکينٹ,innocent
ٹکرا,tukra
تہس,this
حارش,harsh
مرزا,mirza
رخسانہ,rukhsana
ہام,sham
ہوت,hoti
امےر,ameer
لؤ,lo
نام,nam
انعام,inaam
سنگاکارا,sangakara
لڑائی,lrai
بھیگ,bheeg
لکھتے,likhte
ہاتوں,hatthon
پونڈ,poni
گزرے,gzrega
تاو,tao
کسک,kscnumaz
پرواز,perwaaz
ٹپکتا,tpkta
آپی,api
ھیں,hain
رہی,rahi
پھونک,phook
انہی,inhi
بٹس,batsman
چکا,chuka
رقص,raqs
طور,tor
وضاحت,wazaht
کتنا,kitna
ھیلڈ,held
دہکتے,dehekte
تنا,itna
فرمایا,farmaya
پؤيٹری,poetry
بھروسے,bharosay
رسول,rasool
مسلمان,musalman
سنڈ,send
ذمانا,zama
غمی,ghami
مستانہ,mastana
اندر,andar
ملول,malool
زبر,zabr
کور,kor
شا,sha
سنسان,sunsan
دیکھا,dekha
کہے,kahe
باد,baad
روسے,rose
ہارو,haaro
فيصل,faisal
پری,pari
رانا,rana
قریب,qareeb
چول,chwal
نمازی,namazi
بهی,b
پاس,pas
کھلتی,khilti
وکا,oka
پوچھی,pochi
بھولنا,bhulana
ڈولی,dolly
بیسٹ,best
شیری,sheri55
گوگل,google
اطراف,atraaf
کونے,koney
سوفٹ,softchat
تالیاں,talian
منافقت,munafqat
بهادر,bahadur
مست,mast
طبیب,tabeeb
اس,is
عجیب,ajeeb
نيوز,news
لاکي,lake
سومورو,soomro
سعد,saad
کارو,karo
بزدار,buzdar£(taunsa£
ساز,saaz
آکر,aakar
فریدی,fareedi
حےلو,hello
قصی,qasi
عورتوں,aurton
ليٹٹر,letter
آج,aj
آخری,aakhri
انکو,unko
کوشش,koshish
راجا,raja
ہاتھ,hath
وصی,wasi
چیز,cheez
سمایا,sumaya
ورقہ,warq
گيسٹ,guest
اختیارات,ikhtiyarat
شوخ,shokh
لعل,lal
متھ,muth
نبھاتے,nibhatay
١٠٠,100
لوها,loha
وجود,wajood
پونچھ,ponch
٤,4
ڈارک,darkeyes
آفتاب,aftab
ییس,yes
ذوق,zoq
بالوں,balon
حاجت,hajat
پرستی,parasti
ریپلے,reply
بھاگنا,bhagna
سیرو,seeru
زبیر,zubair
تھس,this
قربان,qurban
جلا,jala
قیامت,qyamat
ڈریمز,dreamzz
تتلی,titli
مسکراہٹ,muskarahat
رکھنی,rakhni
بھروسہ,bharosa
ڈوبتی,doobti
رہیں,rahin
نبی,nabi
رفاقت,rafaqat
ریکو,request
رفتگاں,raftagan
دھڑکا,dharka
جاناں,jana
بوم,bombom
شوپ,shop
حقدار,hakdar
دیوانہ,diwana
علی,ali
نشانی,nishani
کوالفيڈ,qualified
بیچ,bech
رہو,raho
فواد,fawad
آدھا,adha
خام,khaam
رضی,razi
ٹوٹنے,tootne
تقدیر,taqdeer
مزاج,mizaj
کورے,korey
مہر,mehr
عبادت,ibadat
کشم,kashmiri
ويلکم,welcome
انگلی,ungli
جنید,junaid12
تاروں,taron
ترک,tark
آرٹی,arty
تمھیں,tumhen
آتے,ate
جگا,jaga
باربار,bar
خودی,bekhudi
اچھے,ache
امين,ameen
ہون,hon
مرضی,marzi
زپر,z
پایا,paya
گهر,ghr
کلیوں,kaliyoo
پارٹ,part
یير,year
انفڈيلٹي,infidelity
خرمی,khurmi
مون,moon
ہوٹ,hotgirl302
مصروف,masrof
الحمدلللہ,al
آدمی,admi
تھ,thi
کونکريٹي,concrete
دامن,daman
تراش,taraash
بعد,bad
ٹیسٹ,test
نسوار,niswar
آ,aa
چہرے,chehre
برباد,barbad
جاننے,janane
ڈوگ,dog
چراغ,chirag
يحيا,yahya
خرچ,kharch
پہاڑ,pahar
سادی,sadi
اتفاق,itafaq
ناموس,namos
دنیا,dunya
کوھول,alcohol
اٹھنا,uthna
ابیع,rabi
دا,da
پرہو,perho
اگگريگيٹ,aggregate
چکروں,chkron
کاسٹ,cast
معذور,mazor
منایا,manaya
ہمم,hmmmmm
ناگوار,nagwar
چاہیئے,chahiye
پين,pain
اللي,ally
مناتا,manata
ھوںج,hun
اکٹر,actor
اندھیرے,andheray
مجے,mujay
خفا,khafa
تینوں,tenu
تلخ,talkh
دیپ,deep
ابل,able
بکتا,bikta
عادتیں,aadatein
رومز,rooms
لاکھ,lakh
فٹبال,football
جوہر,juharabad
پینا,pina
ٹکڑوں,tukron
سارک,sarika
لمیٹڈ,unlmitd
جار,j
میٹر,metr
ٹیل,tell
دھماکے,dhamakay
کلپنا,kalpana
قابو,qaboo
عظیم,azeem
حسسیں,hussain
آنا,aana
خوبصورت,khubsurat
داری,dari
دیکھ,dekh
خوں,khon
ٹرکک,truck
رهنے,rehne
گھسے,ghussay
ہنستے,hanste
سمجھتا,samajhta
بريکفاسٹ,breakfast
شمع,shama
ایشا,ayesha
ٹینا,tina
سنگ,sang
کریں,kren
کونی,koni
شیخ,sheikh
مزے,mazay
لگانی,lgani
نتاشا,ntasha
باہوں,baanhon
وکے,okay
لیکن,lekin
سلا,silamat
فرينڈ,friend
باری,buri
ٹی,t
معیار,mayaar
رافضی,rafzi
گہرے,gehray
ناکامی,nakami
ننيٹي,ninety
بیٹھ,beth
کیجیئے,kijye
ڈون,do
لایا,laya
یاپ,yap
انفليينس,influence
امنہ,amna
وہیں,wahin
زیدہ,zaida
سوتا,sota
ہاسا,haasa
اتنی,itni
سٹيل,steel
مبتلا,mubtala
گزرتا,guzrta
لکیروں,lakiron
ناشتا,nashta
گدو,gado
جرم,jurm
سخت,sakht
آگیا,agaya
فرم,frm
منگ,mung
سیالکوٹ,sialkot
دیے,diye
کسوں,kason
نید,need
کتنے,kitne
سکا,saka
پکی,paki
منظور,manzor
زا,za
دوؤ,do
دیوبند,deobandi
بولتے,bolty
دھوکہ,dhoka
بوتا,bolta
فورٹي,forty
جھکنا,jhukna
معصومہ,masoma
ڈھلا,dhala
لان,landa
دورنگ,during
انور,anwar
تحریریں,tahreeren
جونٹ,joint
باقي,baaqee
ٹھنڈک,thandak
مسکراتے,muskratay
ٹیچر,teacher
لينڈ,lend
گروپ,group
پانیر,pioneer
یہی,yahi
کروانی,krwani
چاندنی,chandni
ستو,ston
کھڑی,khari
شوٹ,sho
انجان,anjan
اٹس,its
۱۵,15
لمبے,lambay
سکور,score
جواد,jawad
حوصلہ,hosla
اسما,asma
اٹھو,utho
چائے,chay
گیلا,geela
تمہاری,tumhari
عادی,aadi
3,3
گھٹا,ghata
نومبر,numbr
حيل,hell
ستون,gstones
شیشہ,shesha
اج,aj
ٹوٹے,tootay
کسی,kisi
آکاش,akash
مجھ,mujh
سرا,sara
بنگلادیش,bangladesh
الٹنے,ulatne
سانس,sans
دلوں,dilon
کللنگ,killing
حارڈ,hard
بری,buri
رونی,roni
ریحان,rehan
چلنے,chalnay
ٹوپک,topic
تھنک,think
پٹری,patri
ہوجاؤ,hojao
جسم,jism
تونے,tu
انگوٹھا,angotha
حونيي,honey
لاو,law
زاہد,zahid
سنتا,sunta
ہپ,h
بھٹکے,bhatkay
گار,gaar
سکم,skm
صحرا,sehra
شورٹ,shortcut3
لاین,line
جهان,jahan
گھوم,ghum
امڈ,umad
بلا,bula
ماہی,mahi
مہربان,mehrban
بھول,bhool
دینا,dena
برعکس,baraakss
پلکوں,palkon
یے,ye
دانش,danish
لبوں,labon
واقعے,waqiye
صاحب,sahb
عدد,adad
تمیں,tumen
جاوں,jaon
قوم,qom
اسکے,uske
آمین,ameen
سنوارتی,sanwarti
جلتی,jalti
غیرت,gherat
مہروز,maheroozwaalaikum
نماز,namaz
نازی,nazi
پووڑ,power
ابلیس,ablees
بوتھ,both
سال,saal
